county,state,season,latitude,longitude,date,classification,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,pressure,visibility,wind_bearing,wind_speed,condition_Clear,condition_Overcast,condition_partially_cloudy,condition_Rain,condition_Snow
Yakima County,Washington,Summer,46.73581,-121.3201,1937-08-18,Class B,85.0,62.0,42.0,37.3,46.5,0.0,0.75,0.0,0.0,1013.6,9.9,300.6,9.0,1,0,0,0,0
Yakima County,Washington,Winter,46.51122,-121.2719,1940-02-24,Class B,42.0,31.0,22.0,19.8,65.2,9.9,0.75,0.0,0.0,1030.9,9.9,317.3,9.2,1,0,0,0,0
Yakima County,Washington,Summer,46.64558,-121.2323,1945-08-21,Class B,76.0,64.0,50.0,43.7,49.2,13.5,0.75,0.0,0.0,1018.4,9.4,301.1,18.6,1,0,0,0,0
Wood County,Wisconsin,Winter,44.42315,-89.7793,1949-02-17,Class B,33.0,26.0,18.0,14.8,62.9,25.2,1.0,0.017,100.0,1022.9,9.7,330.9,12.2,0,0,1,1,1
Wood County,Wisconsin,Winter,44.4308,-89.7715,1947-12-08,Class B,33.0,29.0,21.0,24.2,83.0,99.8,0.25,0.0,0.0,1016.2,7.9,203.8,5.8,0,1,0,0,0
Wyoming County,West Virginia,Fall,39.376484600389865,-97.37305127192984,1939-09-18,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Wayne County,New York,Fall,43.27314,-76.89331,1941-11-30,Class A,68.0,63.0,50.0,53.1,71.8,47.3,0.75,0.041,100.0,1021.0,9.9,259.4,15.7,0,0,1,1,0
Warren County,New York,Spring,39.376484600389865,-97.37305127192984,1941-03-12,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Ulster County,New York,Winter,39.376484600389865,-97.37305127192984,1939-02-12,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Tioga County,New York,Winter,42.40489,-76.17366,1947-02-28,Class B,20.0,16.0,8.0,10.7,79.4,62.6,0.25,0.001,100.0,1022.2,6.5,309.5,15.7,0,0,1,0,1
St. Lawrence County,New York,Fall,39.376484600389865,-97.37305127192984,1947-10-22,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Schuyler County,New York,Fall,42.32724,-76.75318,1941-11-19,Class A,76.0,66.0,49.0,52.6,65.5,35.1,0.0,0.011,100.0,1019.3,9.9,184.5,19.9,0,0,1,1,0
Rockland County,New York,Winter,39.376484600389865,-97.37305127192984,1941-01-27,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,1.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Rensselaer County,New York,Summer,39.376484600389865,-97.37305127192984,1940-08-30,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,1.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Putnam County,New York,Summer,41.5036,-73.7171,1939-07-24,Class A,71.0,67.0,63.0,58.0,74.2,91.3,0.5,0.001,100.0,1017.0,10.8,20.4,16.2,0,1,0,1,0
Otsego County,New York,Summer,42.56379,-74.8865,1945-06-12,Class A,82.0,76.0,74.0,66.1,71.0,98.7,0.0,0.09246594778660613,100.0,1012.7,3.8,121.8,11.4,0,1,0,0,0
Oswego County,New York,Winter,39.376484600389865,-97.37305127192984,1943-01-01,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Orleans County,New York,Spring,43.26886,-78.28014,1941-04-03,Class B,55.0,48.0,43.0,42.4,81.3,93.3,1.0,0.075,100.0,1015.8,12.2,102.3,12.0,0,1,0,1,0
Orange County,New York,Summer,39.376484600389865,-97.37305127192984,1943-08-24,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Ontario County,New York,Fall,42.6153,-77.4028,1945-09-22,Class A,64.0,48.0,38.0,36.6,71.3,13.7,0.5,0.0,0.0,1031.1,8.5,125.0,5.0,1,0,0,0,0
Ontario County,New York,Fall,42.67993,-77.29334,1944-09-25,Class B,77.0,63.0,52.0,44.1,53.0,38.5,1.0,0.118,100.0,1009.8,9.7,217.4,16.6,0,0,1,1,0
Orange County,New York,Fall,41.26455,-74.1468,1950-10-12,Class A,77.0,73.0,67.0,64.2,73.8,91.8,0.25,0.002,100.0,1014.7,6.3,269.3,10.4,0,1,0,1,0
Orleans County,New York,Summer,39.376484600389865,-97.37305127192984,1941-07-04,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Orleans County,New York,Spring,43.22649,-78.3253,1944-04-26,Class A,55.0,42.0,29.0,25.8,55.5,16.2,0.25,0.0,0.0,1024.8,13.2,225.6,17.0,1,0,0,0,0
Orleans County,New York,Summer,43.2265,-78.1946,1940-08-18,Class B,81.0,72.0,65.0,65.9,81.3,83.1,0.5,0.171,100.0,1016.1,8.3,230.6,18.2,0,0,1,1,0
Orleans County,New York,Winter,43.34806,-78.23962,1940-12-28,Class A,21.0,15.0,11.0,7.2,71.4,91.5,0.5,0.021,100.0,1018.8,9.0,252.4,23.6,0,1,0,0,1
Oswego County,New York,Fall,39.376484600389865,-97.37305127192984,1941-09-27,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Otsego County,New York,Summer,39.376484600389865,-97.37305127192984,1949-06-08,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Otsego County,New York,Spring,42.32921,-75.3811,1950-04-25,Class A,56.0,51.0,47.0,45.3,81.7,63.8,0.5,0.438,100.0,1008.4,8.1,112.3,15.0,0,0,1,1,0
Putnam County,New York,Summer,41.38084,-73.91649,1947-07-27,Class B,70.0,56.0,42.0,44.9,68.4,9.1,0.25,0.008,100.0,1026.8,9.9,1.1,11.3,0,0,0,1,0
Putnam County,New York,Spring,41.49887,-73.59659,1947-05-13,Class B,68.0,59.0,52.0,45.4,61.3,66.2,0.75,0.0,0.0,1024.2,9.9,149.6,9.5,0,0,1,0,0
Rensselaer County,New York,Winter,39.376484600389865,-97.37305127192984,1937-12-15,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Rensselaer County,New York,Winter,39.376484600389865,-97.37305127192984,1938-12-09,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Rockland County,New York,Fall,39.376484600389865,-97.37305127192984,1940-09-20,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Rockland County,New York,Summer,41.23296,-74.11488,1937-06-20,Class B,80.0,69.0,56.0,53.9,60.3,7.8,0.75,0.0,0.0,1014.4,9.9,292.5,9.1,1,0,0,0,0
St. Lawrence County,New York,Spring,44.62185,-75.58825,1942-05-29,Class B,57.0,48.0,39.0,33.2,57.5,65.2,0.75,0.01,100.0,1013.5,10.5,222.7,12.5,0,0,1,1,0
Steuben County,New York,Spring,42.28045,-77.60525,1946-03-22,Class A,65.0,52.0,33.0,27.5,47.7,13.7,0.25,0.0,0.0,1015.8,16.0,311.5,22.8,1,0,0,0,0
Steuben County,New York,Fall,39.376484600389865,-97.37305127192984,1948-10-10,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Steuben County,New York,Summer,39.376484600389865,-97.37305127192984,1947-07-01,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Steuben County,New York,Fall,39.376484600389865,-97.37305127192984,1940-11-29,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,1.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Steuben County,New York,Fall,42.54346,-77.36516,1941-10-13,Class B,39.0,28.0,20.0,18.6,69.1,3.6,0.5,0.0,0.0,1039.3,9.9,180.1,8.5,1,0,0,0,0
Steuben County,New York,Fall,42.33473,-77.29253,1937-10-27,Class A,46.0,32.0,24.0,24.9,77.9,5.5,0.0,0.0,0.0,1029.9,9.1,21.4,4.0,1,0,0,0,0
Steuben County,New York,Spring,42.13954,-77.15908,1947-03-22,Class A,64.0,56.0,47.0,43.1,65.4,75.4,0.75,0.0,0.0,1009.9,9.6,278.5,19.1,0,0,1,0,0
Tioga County,New York,Fall,42.1174,-75.64853,1939-10-12,Class A,55.0,50.0,46.0,44.9,82.9,74.8,0.25,0.091,100.0,1019.1,9.1,339.3,8.1,0,0,1,1,0
Ulster County,New York,Spring,41.66955,-74.0863,1940-04-18,Class B,67.0,58.0,47.0,37.8,47.1,43.7,0.75,0.0,0.0,1018.4,25.5,328.3,16.6,0,0,1,0,0
Ulster County,New York,Summer,39.376484600389865,-97.37305127192984,1937-08-08,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Warren County,New York,Fall,39.376484600389865,-97.37305127192984,1943-11-24,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,1.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Warren County,New York,Summer,39.376484600389865,-97.37305127192984,1940-08-29,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,1.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Warren County,New York,Summer,39.376484600389865,-97.37305127192984,1937-07-13,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Warren County,New York,Spring,39.376484600389865,-97.37305127192984,1940-04-07,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,1.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Warren County,New York,Summer,43.7268,-73.52,1945-06-13,Class B,80.0,66.0,50.0,51.9,65.6,6.1,1.0,0.09246594778660613,100.0,1017.3,9.6,169.3,8.1,1,0,0,0,0
Warren County,New York,Spring,43.6678,-73.51238,1938-04-27,Class B,64.0,50.0,36.0,28.8,46.9,3.9,1.0,0.09246594778660613,100.0,1027.4,9.9,318.8,23.4,1,0,0,0,0
Warren County,New York,Summer,39.376484600389865,-97.37305127192984,1938-06-14,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Warren County,New York,Spring,43.66344,-73.56614,1943-03-17,Class B,73.0,53.0,27.0,32.5,51.9,2.0,0.0,0.0,0.0,1018.5,9.7,183.0,15.4,1,0,0,0,0
Warren County,New York,Summer,43.42645,-73.741,1942-08-28,Class B,52.0,38.0,24.0,31.3,79.4,38.4,0.25,0.0,0.0,1026.4,9.5,179.7,8.7,0,0,1,0,0
Warren County,New York,Summer,43.64706,-75.57448,1947-06-11,Class B,68.0,59.0,50.0,47.4,68.7,37.0,0.25,0.075,100.0,1023.1,9.9,298.9,15.5,0,0,1,1,0
Warren County,New York,Summer,43.32,-73.81,1948-06-01,Class B,79.0,73.0,67.0,67.0,83.3,56.0,0.25,0.064,100.0,1010.4,6.2,185.4,13.9,0,0,1,1,0
Warren County,New York,Summer,43.55915,-73.34116,1943-06-29,Class A,85.0,75.0,68.0,70.1,86.3,35.3,1.0,0.371,100.0,1013.9,8.8,175.2,8.1,0,0,1,1,0
Washington County,New York,Winter,39.376484600389865,-97.37305127192984,1948-02-12,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washington County,New York,Winter,39.376484600389865,-97.37305127192984,1940-01-25,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washington County,New York,Fall,43.56211,-73.45947,1944-10-13,Class B,63.0,50.0,34.0,39.3,70.2,3.1,0.75,0.09246594778660613,100.0,1023.0,11.1,147.3,12.8,1,0,0,0,0
Washington County,New York,Summer,39.376484600389865,-97.37305127192984,1943-06-16,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washington County,New York,Summer,39.376484600389865,-97.37305127192984,1943-07-04,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.0,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washington County,New York,Fall,39.376484600389865,-97.37305127192984,1944-09-28,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washington County,New York,Spring,43.35086,-73.34347,1945-03-21,Class B,73.0,65.0,56.0,49.3,58.8,14.0,0.0,0.0,0.0,1019.6,9.9,4.2,11.4,1,0,0,0,0
Washington County,New York,Summer,43.56058,-73.40212,1937-06-03,Class A,75.0,62.0,46.0,46.5,62.5,0.0,0.25,0.0,0.0,1019.6,9.5,186.2,9.0,1,0,0,0,0
Onondaga County,New York,Summer,43.00972,-76.10047,1950-07-30,Class B,65.0,60.0,55.0,56.4,89.6,80.3,0.5,0.059,100.0,1018.1,9.8,142.6,6.6,0,0,1,1,0
